Part,Link,Cost
XIAO-ESP32-C3-DIP,https://www.aliexpress.us/item/3256809899117724.html,$8.18
BNO-055,https://www.aliexpress.us/item/3256809024597875.htm,$7.84
BMP-280,https://www.aliexpress.us/item/3256806639452412.html,$2.64
IRZ44N MOSFET,https://www.aliexpress.us/item/2255800801798474.html,$1.97
LM317,https://www.aliexpress.us/item/3256810187496141.html,$2.49
2.44mm Male Headers,https://www.aliexpress.us/item/2255800801798474.html,$0.99
Generic Resistor Kit,https://www.aliexpress.us/item/3256808562766775.html,$1.87
Screw Terminals,https://www.aliexpress.us/item/3256805790985088.html,$2.44
Subtotal,$28.42,
Shipping,$15.15,
Total,$43.57,
With PCB,$50.69,